word
Gazpacho
Borscht
Minestrone
Goulash
Pho
Ramen
Miso
Pozole
Gumbo
Bouillabaisse
Clam Chowder
Ratatouille
Cioppino
Menudo
Matzo Ball
Tom Kha Gai
Hot and Sour
Wonton
Mulligatawny
Vichyssoise
Cereal
Eagle
Snowy Owl
