word
American Robin
Bald Eagle
Blue Jay
Cardinal
Downy Woodpecker
European Starling
Flamingo
Great Blue Heron
Hummingbird
Kiwi
Mallard Duck
Nightingale
Osprey
Peregrine Falcon
Quetzal
Red-tailed Hawk
Snowy Owl
Toucan
Vulture
Wood Pigeon
